geneName	comGeneName	iE4	iE5	iE6	iE7	iE8	iE9	iE10	iE11	iE14	iE15	iE18	iE19	iE21	iE22	iE23	iE25	iE30	iE35	iE39	iE48	iE50	iE51	iE52	iE55	iE57	iE58	iE59	iE62	iE65	iE69	iE73	iE74	iE75	iE77	iE78	iE79	iE80	iE82	iE83	iE84	iE86	iE87	iE88	iE91	iE92	iE93	iE94	iE95
YAL054C	ACS1	0	0	0	0	0	0.506826835595449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.924535822984857	0	0	0	0	0	0	0	0	0	0	0	0
YAL049C	YAL049C	3.01526018070573	2.54653270239338	8.80341570360639	2.55156239229031	2.87556411932475	2.53413417797724	0	2.70493605753379	1.95750592946081	2.72148710081339	0.6578150706018	3.65299343591403	2.38155738184334	4.27325098234579	3.73080225718408	0	2.71626191832633	3.19142824864224	3.12174755705009	0	2.45226305616449	1.74300555379874	5.40918628264183	4.33003218292516	1.57045044858424	0.841770247672104	0.992727533484992	0	2.55732911492901	3.44827835972699	1.52608078754676	1.59324743240663	5.17146821712751	2.07781964503992	2.84244920658888	5.54721493790915	3.81221812194018	1.87590350518467	0	2.33772200682181	0	1.95562759520151	3.22550880993537	2.26661494444873	1.87027359858801	5.04059324741733	0	0
YAL048C	GEM1	0	1.90989952679504	0	1.70104159486021	0	0.506826835595449	0	2.70493605753379	0.355910168992874	0	0.6578150706018	0	1.19077869092167	0	1.59891525307889	0	0	0	0	0	2.45226305616449	0.871502776899369	0.901531047106972	1.08250804573129	0	0	0	0	0	0	0	1.59324743240663	1.7238227390425	1.03890982251996	1.42122460329444	1.84907164596971	0.953054530485046	2.81385525777701	0	1.55848133788121	0	0.977813797600756	1.61275440496768	0.849980604168275	0	0.840098874569555	0	0
YAL047C	SPC72	0	0	0	0	0	0	0	1.3524680287669	0	0.907162366937797	0	1.82649671795701	1.19077869092167	0	0.532971751026297	1.48395542792927	0	1.06380941621408	0	0	0.490452611232898	0	0	0.309288013066083	0	0.841770247672104	0.992727533484992	0	0	0	0	0	0	0	0.473741534431481	0	0	0	0	0	1.27985020674847	0	0	0.141663434028046	0	0	1.07038386593284	0
YAL046C	YAL046C	1.50763009035286	0.636633175598346	4.40170785180319	0.850520797430105	1.43778205966237	1.52048050678635	0	0	2.13546101395724	0.907162366937797	0.6578150706018	1.82649671795701	1.19077869092167	0	0	1.48395542792927	0	2.12761883242816	0	0	0.490452611232898	0	0	1.23715205226433	0	0	0	0	1.0229316459716	0	0.508693595848919	1.59324743240663	0	2.07781964503992	0.473741534431481	1.84907164596971	0.953054530485046	1.87590350518467	0	1.55848133788121	0	1.30375173013434	0	0.566653736112183	0	0	2.14076773186569	0
YAL044C	GCV3	1.50763009035286	1.27326635119669	0	0	4.31334617898712	3.04096101357269	0	0	3.3811466054323	8.16446130244017	1.3156301412036	3.65299343591403	2.38155738184334	0	2.66485875513148	13.3555988513634	0	1.06380941621408	12.4869902282003	3.04219341836897	3.43316827863029	3.48601110759747	2.70459314132092	10.9797244638459	4.71135134575273	5.05062148603262	0.992727533484992	0	1.0229316459716	0	3.56085517094243	7.96623716203314	0.861911369521251	2.07781964503992	2.3687076721574	0.924535822984857	2.38263632621262	4.68975876296168	9.0521053522611	0.779240668940604	0	2.93344139280227	6.45101761987074	2.69160524653287	9.35136799294007	2.52029662370866	11.7742225252613	2.49698852512266
YAL043C	PTA1	3.01526018070573	0.636633175598346	0	0	1.43778205966237	1.0136536711909	0	0	1.06773050697862	0	0.6578150706018	0	1.19077869092167	0	0	0	1.35813095916316	1.06380941621408	3.12174755705009	2.02812894557932	0.980905222465796	0.871502776899369	2.70459314132092	1.23715205226433	0.785225224292122	0.841770247672104	0	0	0.511465822985802	0	0.508693595848919	0	2.58573410856375	2.07781964503992	2.3687076721574	0	1.42958179572757	0.937951752592337	6.0347369015074	0	0	0.325937932533585	0	0.283326868056092	0	0.840098874569555	0	0
YAL040C	CLN3	6.03052036141145	7.00296493158181	22.008539259016	6.80416637944084	8.62669235797424	5.57509519154994	35.9429458990022	5.40987211506759	2.66932626744655	8.16446130244017	5.9203356354162	5.47949015387104	17.861680363825	12.8197529470374	1.59891525307889	14.8395542792927	8.14878575497898	3.19142824864224	46.8262133557513	9.12658025510692	2.94271566739739	7.84352499209432	14.4244967537116	2.47430410452866	7.85225224292122	5.89239173370473	8.93454780136493	57.0328209060119	11.7637139286734	48.2758970361778	7.63040393773378	27.0852063509127	12.0667591732975	14.5447375152794	7.57986455090369	8.32082240686372	6.1948544481528	8.44156577333103	27.1563160567833	6.23392535152483	12.7985020674847	4.23719312293661	6.45101761987074	1.8416246423646	1.87027359858801	6.72079099655644	8.56307092746276	27.4668737763492
CUT440	CUT440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.07038386593284	0
YAL039C	CYC3	2.26144513552929	0.636633175598346	4.40170785180319	2.55156239229031	0	1.0136536711909	0	1.3524680287669	1.60159576046793	1.81432473387559	0	0	0	0	0	0	0	1.06380941621408	0	1.01406447278966	3.92362088986318	0	2.70459314132092	0.927864039198248	1.57045044858424	0	0.992727533484992	0	0.511465822985802	0	1.52608078754676	1.59324743240663	0.861911369521251	1.03890982251996	0.473741534431481	0	0.476527265242523	0	0	1.55848133788121	1.27985020674847	1.95562759520151	0	1.13330747222437	1.87027359858801	1.68019774913911	1.07038386593284	0
YAL036C	RBG1	2.26144513552929	2.54653270239338	6.60256177770479	0	2.87556411932475	4.56144152035904	3.26754053627292	4.05740408630069	4.8047872814038	2.72148710081339	1.3156301412036	5.47949015387104	1.19077869092167	7.12208497057632	4.26377400821037	4.4518662837878	2.71626191832633	3.19142824864224	6.24349511410017	3.04219341836897	3.92362088986318	3.48601110759747	2.70459314132092	2.93823612412779	7.85225224292122	2.52531074301631	3.97091013393997	12.673960201336	4.60319240687222	3.44827835972699	2.54346797924459	4.77974229721988	3.44764547808501	3.11672946755988	3.78993227545185	7.39628658387886	0.953054530485046	3.75180701036935	9.0521053522611	3.11696267576242	5.1194008269939	2.93344139280227	6.45101761987074	3.96657615278528	3.74054719717603	3.36039549827822	1.07038386593284	7.49096557536797
YAL034C	FUN19	0	0	0	0	0	0.506826835595449	0	0	0.533865253489311	3.62864946775119	0	0	0	0	0	2.96791085585853	0	0	0	2.02812894557932	0.490452611232898	0.871502776899369	1.80306209421394	0.463932019599124	0	0	0	0	0	0	0	0	0	0	0.473741534431481	0	0	0	0	0.779240668940604	0	0.651875865067171	1.61275440496768	0.566653736112183	0	0.840098874569555	1.07038386593284	0
YAL032C	PRP45	0.753815045176432	0.636633175598346	0	0.850520797430105	0	0	0	0	0.533865253489311	1.81432473387559	0	0	0	0	0	0	0	0	0	0	0	0	0.901531047106972	1.08250804573129	1.57045044858424	0	0	6.33698010066798	0	0	0	0	0.861911369521251	0	0.947483068862961	0.924535822984857	0	0	0	0.779240668940604	0	0.325937932533585	0	0.708317170140229	0	0.840098874569555	1.07038386593284	0
YAL031C	GIP4	0	0.636633175598346	0	0	0	0	0	0	0.533865253489311	0.907162366937797	0	1.82649671795701	0	1.42441699411526	0.532971751026297	1.48395542792927	0	1.06380941621408	3.12174755705009	0	0	0	0	0.618576026132166	0	0.841770247672104	0.992727533484992	6.33698010066798	0	0	0	0	0.861911369521251	0	0.473741534431481	0	0	0.937951752592337	0	0.779240668940604	0	0.651875865067171	0	0.566653736112183	0	0	1.07038386593284	0
YAL029C	MYO4	0.753815045176432	1.27326635119669	8.80341570360639	4.25260398715052	7.18891029831187	3.04096101357269	9.80262160881877	6.76234014383449	1.60159576046793	0.907162366937797	1.3156301412036	3.65299343591403	4.76311476368667	2.84883398823053	1.59891525307889	1.48395542792927	4.07439287748949	2.12761883242816	6.24349511410017	0	0.980905222465796	2.61450833069811	3.60612418842789	0.927864039198248	4.71135134575273	0.841770247672104	0	38.0218806040079	0.511465822985802	6.89655671945397	1.01738719169784	0	1.7238227390425	3.11672946755988	0.473741534431481	3.69814329193943	0.476527265242523	0.937951752592337	9.0521053522611	1.55848133788121	5.1194008269939	2.2815655277351	4.83826321490305	0.849980604168275	1.87027359858801	4.20049437284777	5.35191932966422	9.98795410049063
YAL026C-A, YAL026C	YAL026C-A, DRS2	0.753815045176432	0.636633175598346	0	0	1.43778205966237	1.52048050678635	0	0	1.24568559147506	0	1.3156301412036	1.82649671795701	2.38155738184334	0	0.532971751026297	4.4518662837878	2.71626191832633	1.06380941621408	0	1.01406447278966	0.490452611232898	0.871502776899369	0.901531047106972	1.08250804573129	0	0	0	0	1.0229316459716	10.344835079181	0.508693595848919	1.59324743240663	0	2.07781964503992	0.473741534431481	1.84907164596971	0.953054530485046	0	0	0	0	0.977813797600756	0	0.566653736112183	0	0	0	0
YAL025C	MAK16	2.26144513552929	1.90989952679504	6.60256177770479	2.55156239229031	11.502256477299	3.04096101357269	3.26754053627292	1.3524680287669	3.3811466054323	2.72148710081339	0.6578150706018	7.30598687182805	5.95389345460834	1.42441699411526	1.59891525307889	2.96791085585853	6.79065479581582	4.25523766485633	15.6087377852504	5.07032236394829	0	4.35751388449684	0.901531047106972	2.93823612412779	3.14090089716849	0	0	38.0218806040079	2.55732911492901	3.44827835972699	2.03477438339568	1.59324743240663	4.30955684760626	7.27236875763971	4.73741534431481	2.77360746895457	1.42958179572757	4.68975876296168	9.0521053522611	1.55848133788121	7.67910124049084	3.25937932533585	0	2.54994181250482	1.87027359858801	4.20049437284777	4.28153546373138	2.49698852512266
YAL024C	LTE1	0.753815045176432	0	0	0	1.43778205966237	0	0	0	0	0.907162366937797	0.6578150706018	1.82649671795701	1.19077869092167	0	0	0	0	0	0	0	0	0	0.901531047106972	0.309288013066083	0	0	0	0	0	0	0	1.59324743240663	0	0	0	0.924535822984857	0.476527265242523	0.937951752592337	0	0	0	0	0	0.141663434028046	0	0	0	2.49698852512266
